日付,製品コード,製品,販売数,単価,売上金額,曜日,月,年
2022-01-01,P001,製品A,48,1000,48000,土,1,2022
2022-01-01,P002,製品B,77,1500,115500,土,1,2022
2022-01-01,P003,製品C,97,2000,194000,土,1,2022
2022-01-01,P004,製品D,132,2500,330000,土,1,2022
2022-01-01,P005,製品E,166,3000,498000,土,1,2022
2022-01-02,P001,製品A,37,1000,37000,日,1,2022
2022-01-02,P002,製品B,58,1500,87000,日,1,2022
2022-01-02,P003,製品C,81,2000,162000,日,1,2022
2022-01-02,P004,製品D,85,2500,212500,日,1,2022
2022-01-02,P005,製品E,122,3000,366000,日,1,2022
2022-01-03,P001,製品A,85,1000,85000,月,1,2022
2022-01-03,P002,製品B,114,1500,171000,月,1,2022
2022-01-03,P003,製品C,134,2000,268000,月,1,2022
2022-01-03,P004,製品D,172,2500,430000,月,1,2022
2022-01-03,P005,製品E,199,3000,597000,月,1,2022
2022-01-04,P001,製品A,80,1000,80000,火,1,2022
2022-01-04,P002,製品B,112,1500,168000,火,1,2022
2022-01-04,P003,製品C,157,2000,314000,火,1,2022
2022-01-04,P004,製品D,207,2500,517500,火,1,2022
2022-01-04,P005,製品E,237,3000,711000,火,1,2022
2022-01-05,P001,製品A,68,1000,68000,水,1,2022
2022-01-05,P002,製品B,96,1500,144000,水,1,2022
2022-01-05,P003,製品C,142,2000,284000,水,1,2022
2022-01-05,P004,製品D,188,2500,470000,水,1,2022
2022-01-05,P005,製品E,251,3000,753000,水,1,2022
2022-01-06,P001,製品A,73,1000,73000,木,1,2022
2022-01-06,P002,製品B,124,1500,186000,木,1,2022
2022-01-06,P003,製品C,138,2000,276000,木,1,2022
2022-01-06,P004,製品D,182,2500,455000,木,1,2022
2022-01-06,P005,製品E,227,3000,681000,木,1,2022
2022-01-07,P001,製品A,66,1000,66000,金,1,2022
2022-01-07,P002,製品B,101,1500,151500,金,1,2022
2022-01-07,P003,製品C,162,2000,324000,金,1,2022
2022-01-07,P004,製品D,203,2500,507500,金,1,2022
2022-01-07,P005,製品E,231,3000,693000,金,1,2022
2022-01-08,P001,製品A,51,1000,51000,土,1,2022
2022-01-08,P002,製品B,77,1500,115500,土,1,2022
2022-01-08,P003,製品C,113,2000,226000,土,1,2022
2022-01-08,P004,製品D,147,2500,367500,土,1,2022
2022-01-08,P005,製品E,170,3000,510000,土,1,2022
2022-01-09,P001,製品A,34,1000,34000,日,1,2022
2022-01-09,P002,製品B,63,1500,94500,日,1,2022
2022-01-09,P003,製品C,81,2000,162000,日,1,2022
2022-01-09,P004,製品D,89,2500,222500,日,1,2022
2022-01-09,P005,製品E,125,3000,375000,日,1,2022
2022-01-10,P001,製品A,70,1000,70000,月,1,2022
2022-01-10,P002,製品B,103,1500,154500,月,1,2022
2022-01-10,P003,製品C,163,2000,326000,月,1,2022
2022-01-10,P004,製品D,158,2500,395000,月,1,2022
2022-01-10,P005,製品E,248,3000,744000,月,1,2022
2022-01-11,P001,製品A,78,1000,78000,火,1,2022
2022-01-11,P002,製品B,103,1500,154500,火,1,2022
2022-01-11,P003,製品C,150,2000,300000,火,1,2022
2022-01-11,P004,製品D,199,2500,497500,火,1,2022
2022-01-11,P005,製品E,229,3000,687000,火,1,2022
2022-01-12,P001,製品A,63,1000,63000,水,1,2022
2022-01-12,P002,製品B,112,1500,168000,水,1,2022
2022-01-12,P003,製品C,157,2000,314000,水,1,2022
2022-01-12,P004,製品D,174,2500,435000,水,1,2022
2022-01-12,P005,製品E,247,3000,741000,水,1,2022
2022-01-13,P001,製品A,81,1000,81000,木,1,2022
2022-01-13,P002,製品B,106,1500,159000,木,1,2022
2022-01-13,P003,製品C,168,2000,336000,木,1,2022
2022-01-13,P004,製品D,177,2500,442500,木,1,2022
2022-01-13,P005,製品E,197,3000,591000,木,1,2022
2022-01-14,P001,製品A,64,1000,64000,金,1,2022
2022-01-14,P002,製品B,128,1500,192000,金,1,2022
2022-01-14,P003,製品C,166,2000,332000,金,1,2022
2022-01-14,P004,製品D,196,2500,490000,金,1,2022
2022-01-14,P005,製品E,204,3000,612000,金,1,2022
2022-01-15,P001,製品A,55,1000,55000,土,1,2022
2022-01-15,P002,製品B,85,1500,127500,土,1,2022
2022-01-15,P003,製品C,119,2000,238000,土,1,2022
2022-01-15,P004,製品D,147,2500,367500,土,1,2022
2022-01-15,P005,製品E,147,3000,441000,土,1,2022
2022-01-16,P001,製品A,42,1000,42000,日,1,2022
2022-01-16,P002,製品B,57,1500,85500,日,1,2022
2022-01-16,P003,製品C,79,2000,158000,日,1,2022
2022-01-16,P004,製品D,105,2500,262500,日,1,2022
2022-01-16,P005,製品E,96,3000,288000,日,1,2022
2022-01-17,P001,製品A,76,1000,76000,月,1,2022
2022-01-17,P002,製品B,109,1500,163500,月,1,2022
2022-01-17,P003,製品C,133,2000,266000,月,1,2022
2022-01-17,P004,製品D,199,2500,497500,月,1,2022
2022-01-17,P005,製品E,233,3000,699000,月,1,2022
2022-01-18,P001,製品A,84,1000,84000,火,1,2022
2022-01-18,P002,製品B,95,1500,142500,火,1,2022
2022-01-18,P003,製品C,170,2000,340000,火,1,2022
2022-01-18,P004,製品D,189,2500,472500,火,1,2022
2022-01-18,P005,製品E,196,3000,588000,火,1,2022
2022-01-19,P001,製品A,65,1000,65000,水,1,2022
2022-01-19,P002,製品B,125,1500,187500,水,1,2022
